"Country","Virus Name","Submitted"
"Antigua and Barbuda","hCoV-19/Antigua and Barbuda/73646/2021","2022-01-31"
"Saint Lucia","hCoV-19/Saint Lucia/74397/2021","2022-01-31"
"Barbados","hCoV-19/Barbados/74820/2021","2022-01-31"
"Jamaica","hCoV-19/Jamaica/47547/2020","2022-01-31"
"Saudi Arabia","hCoV-19/Saudi Arabia/KFSHRC_0117L/2021","2022-01-30"
"Nicaragua","hCoV-19/Nicaragua/MAN-117138/2021","2022-01-27"
"Kuwait","hCoV-19/Kuwait/KMSPI-2802/2021","2022-01-23"
"Turks and Caicos Islands","hCoV-19/Turks and Caicos Islands/69636/2021","2022-01-21"
"Cayman Islands","hCoV-19/Cayman Islands/49179/2021","2022-01-21"
"Guyana","hCoV-19/Guyana/70550/2021","2022-01-21"
"British Virgin Islands","hCoV-19/British Virgin Islands/69645/2021","2022-01-21"
"Malawi","hCoV-19/Malawi/COM-SEQ8492/2021","2022-01-20"
"Uganda","hCoV-19/Uganda/IDRC-CZB-03/2021","2022-01-17"
"Czech Republic","hCoV-19/Czech Republic/KNL-010180158/2022","2022-01-16"
"Bahrain","hCoV-19/Bahrain/21922141043_S150_L001/2021","2022-01-16"
"Cabo Verde","hCoV-19/Cabo Verde/Santiago_32082/2021","2022-01-10"
"Gambia","hCoV-19/Gambia/PF6139/2021","2022-01-04"
"Libya","hCoV-19/Libya/MZ054881/2021","2022-01-03"
"Sri Lanka","hCoV-19/Sri Lanka/ML-MRI-0023/2021","2021-12-26"
"Zambia","hCoV-19/Zambia/ZMB-121235/2021","2021-12-23"
"Gibraltar","hCoV-19/Gibraltar/EXP_07092021-1116542-71/2020","2021-12-22"
"Venezuela","hCoV-19/Venezuela/Bar7121/2021","2021-12-18"
"Costa Rica","hCoV-19/Costa Rica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-2084-670190/2021","2021-12-16"
"Madagascar","hCoV-19/Madagascar/IPM-61949/2021","2021-12-16"
"Burkina Faso","hCoV-19/Burkina Faso/CHUSS_7733/2021","2021-12-10"
"Cambodia","hCoV-19/Cambodia/886723/2021","2021-12-08"
"Malta","hCoV-19/Malta/MDxMDH586/2021","2021-12-08"
"Cyprus","hCoV-19/Cyprus/BMVUCY765/2021","2021-12-06"
"Qatar","hCoV-19/Qatar/QA.QU.20.8.E4/2021","2021-12-05"
"Benin","hCoV-19/Benin/NMIMR-LFVH402699/2021","2021-12-04"
"Republic of the Congo","hCoV-19/Congo/RC-165/2021","2021-12-03"
"Djibouti","hCoV-19/Djibouti/NAMRU3_E30/2021","2021-12-01"
"Paraguay","hCoV-19/Paraguay/WOR12903A604/2021","2021-12-01"
"El Salvador","hCoV-19/El Salvador/02-90/2021","2021-11-24"
"Guam","hCoV-19/Guam/GU-CDC-2-5097646/2021","2021-11-18"
"Dominican Republic","hCoV-19/DOM/202103002_603669/2021","2021-11-18"
