Lambda 761 NSP16
Lambda 2332 NSP2
Lambda 35890 NSP3
Lambda 20600 NSP4
Lambda 9667 NSP5
Lambda 30105 NSP6
Lambda 156 NSP7
Lambda 482 NSP8
Lambda 478 NSP9
Lambda 138414 Spike
Mu 251 E
Mu 1191 M
Mu 18603 N
Mu 41310 NS3
Mu 569 NS6
Mu 2556 NS7a
Mu 616 NS7b
Mu 43413 NS8
Mu 3926 NSP1
Mu 159 NSP10
Mu 21517 NSP12
Mu 25052 NSP13
Mu 3369 NSP14
Mu 3539 NSP15
Mu 1493 NSP16
Mu 5209 NSP2
Mu 41535 NSP3
Mu 18612 NSP4
Mu 605 NSP5
Mu 15903 NSP6
Mu 214 NSP7
Mu 584 NSP8
Mu 619 NSP9
Mu 146030 Spike
Theta 13 E
Theta 15 M
Theta 1347 N
Theta 192 NS3
Theta 25 NS6
Theta 60 NS7a
Theta 8 NS7b
Theta 703 NS8
Theta 45 NSP1
Theta 70 NSP10
Theta 599 NSP12
Theta 1016 NSP13
Theta 209 NSP14
Theta 41 NSP15
Theta 33 NSP16
Theta 497 NSP2
Theta 1452 NSP3
Theta 1112 NSP4
Theta 20 NSP5
Theta 600 NSP6
Theta 556 NSP7
Theta 39 NSP8
Theta 8 NSP9
Theta 6814 Spike
Zeta 111 E
Zeta 197 M
Zeta 25146 N
Zeta 1660 NS3
Zeta 144 NS6
Zeta 469 NS7a
Zeta 170 NS7b
Zeta 1331 NS8
Zeta 228 NSP1
Zeta 87 NSP10
Zeta 6739 NSP12
Zeta 752 NSP13
Zeta 665 NSP14
Zeta 912 NSP15
Zeta 855 NSP16
Zeta 1792 NSP2
Zeta 4478 NSP3
Zeta 1510 NSP4
Zeta 6056 NSP5
Zeta 974 NSP6
Zeta 5981 NSP7
Zeta 451 NSP8
Zeta 170 NSP9
Zeta 20202 Spike
