"Country","Virus Name","Submitted"
"Trinidad and Tobago","hCoV-19/Trinidad and Tobago/172013/2022","2022-07-04"
"Saudi Arabia","hCoV-19/Saudi Arabia/KFSHRC_004R/2021","2022-06-29"
"Kuwait","hCoV-19/Kuwait/Jaber2220148330/2022","2022-06-27"
"Solomon Islands","hCoV-19/Solomon Islands/SOL264/2022","2022-06-26"
"Hong Kong","hCoV-19/Hong Kong/WHP4983/2021","2022-06-23"
"Cameroon","hCoV-19/Cameroon/21V-61277/2021","2022-06-20"
"Nepal","hCoV-19/Nepal/CDBT-TU-sq5153/2022","2022-06-19"
"Georgia","hCoV-19/Georgia/Tb-sNGS1787/2021","2022-06-15"
"Brunei","hCoV-19/Brunei/7122011761/2022","2022-06-14"
"Niger","hCoV-19/Niger/HNN-625/2021","2022-06-14"
"Paraguay","hCoV-19/Paraguay/272584/2021","2022-06-08"
"Finland","hCoV-19/Finland/R-1800/2022","2022-06-06"
"Panama","hCoV-19/Panama/M98547-GMI/2021","2022-06-05"
"Romania","hCoV-19/Romania/GIHSN-39242/2021","2022-06-02"
"Lesotho","hCoV-19/Lesotho/N21463/2021","2022-05-31"
"Namibia","hCoV-19/Namibia/N17388/2021","2022-05-26"
"Eswatini","hCoV-19/Eswatini/N20441/2021","2022-05-25"
"Israel","hCoV-19/Israel/SMC-7067054/2022","2022-05-24"
"Lithuania","hCoV-19/Lithuania/LTU000_KUL_5430684/2022","2022-05-19"
"Singapore","hCoV-19/Singapore/4493/2022","2022-05-11"
"Togo","hCoV-19/Togo/NMIMR-22-Togo-25/2021","2022-05-10"
"Seychelles","hCoV-19/Seychelles/SS7587/2022","2022-05-06"
"Uruguay","hCoV-19/Uruguay/DLSP_p2323/2021","2022-05-04"
"Venezuela","hCoV-19/Venezuela/Mir546/2021","2022-05-01"
"Belarus","hCoV-19/Belarus/HO-CRIE-7740893573/2022","2022-04-29"
"Reunion","hCoV-19/Reunion/LRE-genbio-gravanches-14292981520/2021","2022-04-29"
"Ireland","hCoV-19/Ireland/MN-NVRL-M33IRL18028/2021","2022-04-28"
"Democratic Republic of the Congo","hCoV-19/DRC/ILRI_COVM00419/2021","2022-04-25"
"Jamaica","hCoV-19/Jamaica/JAM-UWIMicro-0613/2022","2022-04-16"
"French Guiana","hCoV-19/French Guiana/GUF-ERFB-2071385939/2021","2022-04-13"
"Martinique","hCoV-19/Martinique/MTQ-ERFB-2068659972/2021","2022-04-13"
"Guadeloupe","hCoV-19/Guadeloupe/GUA-ERFB-2068696837/2021","2022-04-13"
"Bahrain","hCoV-19/Bahrain/22970143702/2022","2022-04-10"
"Serbia","hCoV-19/Serbia/6C1-12/2021","2022-04-07"
"Sri Lanka","hCoV-19/Sri Lanka/molecularlab_mri_0007/2022","2022-04-07"
"Albania","hCoV-19/Kosovo/CO-00733-XXK000_98_02_Pe_Niph_2022/2022","2022-04-06"
"Kosovo","hCoV-19/Kosovo/CO-00733-XXK000_97_02_Pe_Niph_2022/2022","2022-04-06"
"Guyana","hCoV-19/Guyana/1885-GMI/2022","2022-04-04"
"The Bahamas","hCoV-19/Bahamas/15582-GMI/2021","2022-04-01"
"Belize","hCoV-19/Belize/8689517-GMI/2021","2022-04-01"
"Moldova","hCoV-19/Moldova/F0012/2022","2022-04-01"
"El Salvador","hCoV-19/El Salvador/112091-GMI/2021","2022-04-01"
"Guatemala","hCoV-19/Guatemala/4576-GMI/2021","2022-03-31"
"Gabon","hCoV-19/Gabon/JJ0658/2021","2022-03-29"
"Jordan","hCoV-19/Jordan/Biolab0618/2022","2022-03-29"
"Mauritania","hCoV-19/Mauritanie/396382/2021","2022-03-26"
"Bosnia and Herzegovina","hCoV-19/Bosnia and Herzegovina/IPH-RS-42/2022","2022-03-25"
"Papua New Guinea","hCoV-19/Papua New Guinea/PNG6692/2021","2022-03-24"
"New Zealand","hCoV-19/New Zealand/22CV2885/2022","2022-03-24"
"Slovakia","hCoV-19/Slovakia/BA_22_00016409/2022","2022-03-23"
"Suriname","hCoV-19/Suriname/SR-965/2022","2022-03-22"
"Comoros","hCoV-19/Comoros/SS5385/2021","2022-03-22"
"Ethiopia","hCoV-19/Ethiopia/ILRI_COVM02882/2021","2022-03-22"
"Haiti","hCoV-19/Haiti/69060398-ICGES/2022","2022-03-22"
"Malawi","hCoV-19/Malawi/MLW-00505/2021","2022-03-21"
"Liechtenstein","hCoV-19/env/Liechtenstein/CeMM20915/2021","2022-03-21"
"Greece","hCoV-19/Greece/332454/2022","2022-03-16"
"Costa Rica","hCoV-19/Costa Rica/INC-1812-717056/2021","2022-03-14"
"Central African Republic","hCoV-19/Central African Republic/RCA-035/2022","2022-03-09"
"Estonia","hCoV-19/Estonia/19199012/2022","2022-03-08"
"Chad","hCoV-19/Chad/TCH-010/2021","2022-03-06"
"Bonaire","hCoV-19/Bonaire/BQ-RIVM-89807/2021","2022-03-04"
"New Caledonia","hCoV-19/New Caledonia/0060320/2022","2022-03-03"
"Saint Martin","hCoV-19/Saint-Martin/IPP54144/2021","2022-03-03"
"French Polynesia","hCoV-19/French Polynesia/IPP54267/2021","2022-03-03"
"South Sudan","hCoV-19/South Sudan/UG1092/2021","2022-03-01"
"Equatorial Guinea","hCoV-19/Equatorial Guinea/C9205/2021","2022-03-01"
"Curacao","hCoV-19/Curacao/CW-RIVM-87875/2022","2022-02-25"
"North Macedonia","hCoV-19/North Macedonia/6439/2022","2022-02-25"
"Sao Tome and Principe","hCoV-19/Sao Tome and Principe/09/2021","2022-02-24"
"Montenegro","hCoV-19/Montenegro/1212032202/2022","2022-02-24"
"Cote d'Ivoire","hCoV-19/Cote d'Ivoire/IPCI-cv515/2021","2022-02-21"
"Benin","hCoV-19/Benin/506092/2021","2022-02-21"
