à vide,ctrl siRNA 20 nM,mix1_siRNA 20 nM,mix2_siRNA 20 nM,ctrl siRNA 100 nM,mix1_siRNA 100 nM,mix2_siRNA 100 nM
323923,281943,517213,465251,598211,505560,525430
620464,451746,467578,488335,641624,502750,576822
632718,396087,463707,499956,597950,553271,306777
346476,542070,451746,468805,576386,463992,576386
611463,393791,502441,456266,364992,508655,542442
